model	params	batch	timesteps	latency_ms_mean	latency_ms_min	latency_ms_max	logits_shape	spike_rate_mean	active_ratio
LIFMLP	4524	2	4	0.08008396252989769	0.07545895641669631	0.08470896864309907	(2, 10)	0.083984375	
TernaryLIFMLP	4524	2	4	0.07243751315400004	0.06562500493600965	0.07925002137199044	(2, 10)	0.060546875	
ConvLIFSNN	1160	2	4	0.2081874990835786	0.2027080045081675	0.21366699365898967	(2, 10)	0.0611572265625	
TernaryConvLIFSNN	1160	2	4	0.20281251636333764	0.19525003153830767	0.2103750011883676	(2, 10)	0.012939453125	
SparseEventConvLIFSNN	1160	2	4	0.2117919793818146	0.19624998094514012	0.22733397781848907	(2, 10)	0.1540323942899704	1.0
DepthwiseSeparableConvLIFSNN	364	2	4	0.39779150392860174	0.38354197749868035	0.41204103035852313	(2, 10)	0.02838134765625	
ResidualShallowSpikingCNN	2655	2	4	0.4356455465313047	0.4294580430723727	0.44183304999023676	(2, 10)	0.02193196676671505	
MultiTimescaleLIFBlock	4493	2	4	0.08025046554394066	0.07495895260944963	0.0855419784784317	(2, 10)	0.1614583432674408	
TinyRecurrentSpikingBlock	2411	2	4	0.05233302363194525	0.04020804772153497	0.06445799954235554	(2, 10)	0.203125	
HybridSNNEncoderHead	1408	2	4	0.19362499006092548	0.19058299949392676	0.1966669806279242	(2, 10)	0.02752685546875	
